date,channel,campaign,source,业务线,地区,平台,设备,visits,访客,signups,active_users,orders,revenue,cost,conversion_rate,retention_rate,owner,备注,目标转化率,退款订单数,客单价,新客数,老客数
2026-05-01,App,五一拉新-A,app_push,会员增长,华东,自有App,iOS,12450,11890,860,5320-01-01 08:00:00,312,89240.5,12800,0.025099999999999997,0.41200000000000003,张宁,节假日活动,0.024,12,286.03,210,102
2026-05-01,Web,五一拉新-A,seo,会员增长,华东,官网,Desktop,8920,8010,420,3910-01-01 08:00:00,145,43500,6500,0.0163,0.38,张宁,,0.018000000000000002,6,300,92,53
2026-05-01,Mini Program,五一拉新-A,wechat,会员增长,华南,小程序,Mobile,15300,14200,1032,6100-01-01 08:00:00,388,102330.8,18450.2,0.0254,0.445,李想,微信侧流量高,0.025,18,263.74,271,117
2026-05-02,App,五一拉新-A,app_push,会员增长,华东,自有App,Android,13280,12610,910,5488-01-01 08:00:00,335,93210,13950,0.0252,0.42,张宁,,0.024,9,278.24,229,106
2026-05-02,Web,五一拉新-A,paid_search,会员增长,华北,官网,Desktop,7880,7110,365,3440-01-01 08:00:00,121,36120,8900.5,0.0154,0.368,王璐,搜索预算偏高,0.017,4,298.51,73,48
2026-05-02,Mini Program,五一拉新-A,wechat,会员增长,华南,小程序,Mobile,16020,14980,1088,6450-01-01 08:00:00,402,109884.2,19120,0.025099999999999997,0.451,李想,,0.025,15,273.34,286,116
2026-05-03,App,直播间转化-B,app_push,电商运营,华东,自有App,iOS,10640,10020,540,4890-01-01 08:00:00,501,158220.3,10500,0.0471,0.395,陈晨,直播带货,0.045,31,315.81,188,313
2026-05-03,Web,直播间转化-B,affiliate,电商运营,华东,官网,Desktop,6350,5880,210,2510-01-01 08:00:00,198,61340,4200,0.031200000000000002,0.354,陈晨,,0.032,10,309.8,67,131
2026-05-03,Mini Program,直播间转化-B,wechat,电商运营,华南,小程序,Mobile,11700,10940,610,5210-01-01 08:00:00,458,141020,7980,0.0391,0.402,李想,小程序转化提升,0.038,22,307.9,163,295
2026-05-04,App,会员召回-C,app_push,会员增长,华东,自有App,iOS,9880,9340,322,5012-01-01 08:00:00,276,78910,5820,0.0279,0.48,张宁,召回老客为主,0.027000000000000003,8,285.91,42,234
2026-05-04,Web,会员召回-C,email,会员增长,华北,官网,Desktop,4560,4310,155,2080-01-01 08:00:00,102,29100,980,0.022400000000000003,0.522,王璐,邮件成本低,0.021,3,285.29,18,84
2026-05-04,Mini Program,会员召回-C,wechat,会员增长,华南,小程序,Mobile,8430,7920,284,3880-01-01 08:00:00,230,67850.5,3450,0.0273,0.47600000000000003,李想,,0.027000000000000003,7,295,31,199
2026-05-05,App,新人礼包-D,paid_social,会员增长,华东,自有App,Android,14210,13200,1180,5900-01-01 08:00:00,350,92750,21800,0.0246,0.33799999999999997,张宁,投放量大,0.023,16,265,302,48
2026-05-05,Web,新人礼包-D,paid_search,会员增长,华北,官网,Desktop,9310,8610,690,3720-01-01 08:00:00,188,51512,15300,0.0202,0.314,王璐,,0.02,5,273.99,141,47
2026-05-05,Mini Program,新人礼包-D,wechat,会员增长,华南,小程序,Mobile,17900,16820,1490,6880-01-01 08:00:00,430,116530,24900,0.024,0.34600000000000003,李想,新客占比高,0.023,20,270.98,355,75
2026-05-06,App,自然流量监控,organic,经营分析,华东,自有App,iOS,7450,7020,210,4100-01-01 08:00:00,198,57420,0,0.026600000000000002,0.46,陈晨,自然流量,0.024,6,290,51,147
2026-05-06,Web,自然流量监控,seo,经营分析,华北,官网,Desktop,12880,11900,398,5220-01-01 08:00:00,260,75620,0,0.0202,0.431,王璐,SEO,0.02,9,290.85,79,181
2026-05-06,Mini Program,自然流量监控,wechat,经营分析,华南,小程序,Mobile,6230,5920,180,2890-01-01 08:00:00,141,40310,0,0.0226,0.44,李想,,0.022000000000000002,4,285.89,38,103
2026-05-07,App,618预热-E,paid_social,电商运营,华东,自有App,Android,18500,17120,1320,7600-01-01 08:00:00,620,201120.8,32200,0.0335,0.39899999999999997,张宁,大促预热,0.031,35,324.39,301,319
2026-05-07,Web,618预热-E,paid_search,电商运营,华北,官网,Desktop,10240,9700,640,4160-01-01 08:00:00,292,92640,19500,0.0285,0.37200000000000005,王璐,,0.027000000000000003,11,317.26,132,160
2026-05-07,Mini Program,618预热-E,wechat,电商运营,华南,小程序,Mobile,19860,18450,1448,8120-01-01 08:00:00,690,225870,35100,0.0347,0.415,李想,微信裂变,0.032,38,327.35,340,350
2026-05-08,App,渠道AB测试-F,app_push,增长实验,华东,自有App,iOS,5980,5620,260,3010-01-01 08:00:00,154,42350,3200,0.0258,0.4,陈晨,A组,0.025,5,275,64,90
2026-05-08,App,渠道AB测试-F,app_push,增长实验,华东,自有App,Android,6120,5790,288,3090-01-01 08:00:00,166,46480,3350,0.0271,0.408,陈晨,B组,0.025,4,280,71,95
2026-05-08,Web,渠道AB测试-F,affiliate,增长实验,华北,官网,Desktop,4980,4610,175,2100-01-01 08:00:00,118,34220,2700,0.023700000000000002,0.36200000000000004,王璐,外部联盟,0.023,3,290,38,80
2026-05-09,Mini Program,异常值测试-G,wechat,经营分析,华南,小程序,Mobile,22500,21000,1700,9000-01-01 08:00:00,760,260000,42000,0.0338,0.43200000000000005,李想,正常高峰,0.032,45,342.11,390,370
2026-05-09,Web,异常值测试-G,paid_search,经营分析,华北,官网,Desktop,1050,980,22,0430-01-01 00:00:00,15,4200,9800,0.0143,0.28,王璐,成本高收入低,0.02,1,280,5,10
2026-05-10,App,缺失值测试-H,app_push,会员增长,华东,自有App,iOS,,6200,,3500-01-01 08:00:00,190,54150,4800,,0.39,张宁,访问量和注册缺失,0.024,7,285,,
2026-05-10,Web,缺失值测试-H,seo,会员增长,华北,官网,Desktop,7600,7200,310,3300-01-01 08:00:00,205,59450,,0.027000000000000003,,王璐,成本和留存缺失,0.023,8,290,66,139
2026-05-10,Mini Program,缺失值测试-H,wechat,会员增长,华南,小程序,Mobile,13400,12650,840,5900-01-01 08:00:00,360,101880,12600,0.0269,0.428,,负责人缺失,0.025,14,283,220,140
