id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence
bar-histogram,custom,Histogram with Custom Series,直方图（自定义系列）,bar-histogram.png,public/examples/ts/bar-histogram.ts,bar;scatter,dataset+dataset.source,1,31,1,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）
bar-simple,bar,Basic Bar,基础柱状图,bar-simple.png,public/examples/ts/bar-simple.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-tick-align,bar,Axis Align with Tick,坐标轴刻度与标签对齐,bar-tick-align.png,public/examples/ts/bar-tick-align.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
calendar-simple,calendar,Simple Calendar,基础日历图,calendar-simple.png,public/examples/ts/calendar-simple.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
candlestick-simple,candlestick,Basic Candlestick,基础 K 线图,candlestick-simple.png,public/examples/ts/candlestick-simple.ts,candlestick,series.data,,,4,4,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）",medium（基于官方示例源码静态解析 + 分类规则）
chord-simple,chord,Basic Chord,基础和弦图,chord-simple.png,public/examples/ts/chord-simple.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
data-transform-sort-bar,dataset;bar;transform,Sort Data in Bar Chart,柱状图排序,data-transform-sort-bar.png,public/examples/ts/data-transform-sort-bar.ts,bar,dataset+dataset.source,5,9,5,5,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
heatmap-cartesian,heatmap,Heatmap on Cartesian,笛卡尔坐标系上的热力图,heatmap-cartesian.png,public/examples/ts/heatmap-cartesian.ts,heatmap,series.data,,,3,3,,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）
line-simple,line,Basic Line Chart,基础折线图,line-simple.png,public/examples/ts/line-simple.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-smooth,line,Smoothed Line Chart,基础平滑折线图,line-smooth.png,public/examples/ts/line-smooth.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
