id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence,primary_chart_type,standard_kind,standard_imd_priority,standard_min_fields,standard_data_shape,standard_required_roles_json,standard_optional_roles_json,standard_auto_binding_strategy,imd_template_fit
bar-histogram,custom,Histogram with Custom Series,直方图（自定义系列）,bar-histogram.png,public/examples/ts/bar-histogram.ts,bar;scatter,dataset+dataset.source,1,31,1,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
bar-simple,bar,Basic Bar,基础柱状图,bar-simple.png,public/examples/ts/bar-simple.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-tick-align,bar,Axis Align with Tick,坐标轴刻度与标签对齐,bar-tick-align.png,public/examples/ts/bar-tick-align.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
calendar-simple,calendar,Simple Calendar,基础日历图,calendar-simple.png,public/examples/ts/calendar-simple.ts,heatmap,series.data,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）,heatmap,series,core,3,matrix_triples,"[{""id"": ""x"", ""label"": ""X维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""横向维度""}, {""id"": ""y"", ""label"": ""Y维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""纵向维度""}, {""id"": ""value"", ""label"": ""热度值"", ""required"": true, ""types"": [""number""], ""description"": ""颜色强度""}]","[{""id"": ""series"", ""label"": ""分面"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""多个热力图分组""}]",两个分类/日期字段 + 一个数值字段。,auto_recommendable
candlestick-simple,candlestick,Basic Candlestick,基础 K 线图,candlestick-simple.png,public/examples/ts/candlestick-simple.ts,candlestick,series.data,,,4,4,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）",medium（基于官方示例源码静态解析 + 分类规则）,candlestick,series,advanced,5,ohlc,"[{""id"": ""date"", ""label"": ""日期/周期"", ""required"": true, ""types"": [""date"", ""text"", ""category""], ""description"": ""交易日期或周期""}, {""id"": ""open"", ""label"": ""开盘"", ""required"": true, ""types"": [""number""], ""description"": ""开盘价""}, {""id"": ""close"", ""label"": ""收盘"", ""required"": true, ""types"": [""number""], ""description"": ""收盘价""}, {""id"": ""low"", ""label"": ""最低"", ""required"": true, ""types"": [""number""], ""description"": ""最低价""}, {""id"": ""high"", ""label"": ""最高"", ""required"": true, ""types"": [""number""], ""description"": ""最高价""}]","[{""id"": ""volume"", ""label"": ""成交量"", ""required"": false, ""types"": [""number""], ""description"": ""成交量，可配合柱状图""}]",按字段名识别 open/close/low/high/date。,advanced_requires_validation
chord-simple,chord,Basic Chord,基础和弦图,chord-simple.png,public/examples/ts/chord-simple.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,chord,series,advanced,2,relationship_matrix_or_edges,"[{""id"": ""source"", ""label"": ""来源"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""关系来源""}, {""id"": ""target"", ""label"": ""目标"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""关系目标""}]","[{""id"": ""value"", ""label"": ""权重"", ""required"": false, ""types"": [""number""], ""description"": ""关系强度""}]",source/target/value 或矩阵数据。,advanced_requires_validation
data-transform-sort-bar,dataset;bar;transform,Sort Data in Bar Chart,柱状图排序,data-transform-sort-bar.png,public/examples/ts/data-transform-sort-bar.ts,bar,dataset+dataset.source,5,9,5,5,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
heatmap-cartesian,heatmap,Heatmap on Cartesian,笛卡尔坐标系上的热力图,heatmap-cartesian.png,public/examples/ts/heatmap-cartesian.ts,heatmap,series.data,,,3,3,,"三元组: x, y, value（3 字段）",medium（基于官方示例源码静态解析 + 分类规则）,heatmap,series,core,3,matrix_triples,"[{""id"": ""x"", ""label"": ""X维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""横向维度""}, {""id"": ""y"", ""label"": ""Y维度"", ""required"": true, ""types"": [""text"", ""category"", ""date"", ""number""], ""description"": ""纵向维度""}, {""id"": ""value"", ""label"": ""热度值"", ""required"": true, ""types"": [""number""], ""description"": ""颜色强度""}]","[{""id"": ""series"", ""label"": ""分面"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""多个热力图分组""}]",两个分类/日期字段 + 一个数值字段。,auto_recommendable
line-simple,line,Basic Line Chart,基础折线图,line-simple.png,public/examples/ts/line-simple.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,line,series,core,2,table_rows,"[{""id"": ""x"", ""label"": ""X轴/时间或分类"", ""required"": true, ""types"": [""date"", ""number"", ""text"", ""category""], ""description"": ""趋势横轴，优先日期或有序字段""}, {""id"": ""y"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""趋势数值""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多条折线""}]",优先日期字段做 x；没有日期时用分类字段；数值字段做 y。,auto_recommendable
line-smooth,line,Smoothed Line Chart,基础平滑折线图,line-smooth.png,public/examples/ts/line-smooth.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,line,series,core,2,table_rows,"[{""id"": ""x"", ""label"": ""X轴/时间或分类"", ""required"": true, ""types"": [""date"", ""number"", ""text"", ""category""], ""description"": ""趋势横轴，优先日期或有序字段""}, {""id"": ""y"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""趋势数值""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多条折线""}]",优先日期字段做 x；没有日期时用分类字段；数值字段做 y。,auto_recommendable
